

"NE Operation Log Records_20210611_184457"
"Save Time: 2021-06-11 18:45:07"
"User Name:admin"
""

"Total 3,099 Records"

"User","User Type","Terminal","Start Time","End Time","Result","Command","Rollback Command","Information","NE Type","NE Name"
minjaj,EMS,10.12.15.202,2021-05-07 13:27:50,2021-05-07 13:27:50,Succeeded,"CRE TRC_USER:OP=MSISDN,MSISDN=""255754710287"",MT=GTPC-1&AAA-1&SCEF-1&UP-1&DOWN-1&LPUv4_UP-1&LPUv4_DOWN-1&GY-1&PPP-1&L2TP-1&GX-1&GXC-1&DHCPV4-1&DHCPV6-1&IPV6-1&S6B-1&PMIPV6-1&ICAP-1&S18-1&EMS_SIGNALING-1&EMS_SA-1&EMS_DROP_DATA-1&MSE_UP-1&MSE_DOWN-1&EMS_MSE_DROP_DATA-1&NAP_UP-1&NAP_DOWN-1&EMS_WO_DATA-1&EMS_VO_DATA-1&EMS_NAP_DROP_DATA-1&EMS_MSE_TCPPROXY-1&EMS_MSE_MSD-1&EMS_ICAP_MESSAGE-1&EMS_RESERVE-1&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 13:08:07,2021-05-07 13:08:07,Succeeded,"CRE TRC_USER:OP=MSISDN,MSISDN=""255754710287"",MT=GTPC-1&AAA-1&SCEF-1&UP-1&DOWN-1&LPUv4_UP-1&LPUv4_DOWN-1&GY-1&PPP-1&L2TP-1&GX-1&GXC-1&DHCPV4-1&DHCPV6-1&IPV6-1&S6B-1&PMIPV6-1&ICAP-1&S18-1&EMS_SIGNALING-1&EMS_SA-1&EMS_DROP_DATA-1&MSE_UP-1&MSE_DOWN-1&EMS_MSE_DROP_DATA-1&NAP_UP-1&NAP_DOWN-1&EMS_WO_DATA-1&EMS_VO_DATA-1&EMS_NAP_DROP_DATA-1&EMS_MSE_TCPPROXY-1&EMS_MSE_MSD-1&EMS_ICAP_MESSAGE-1&EMS_RESERVE-1&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 12:59:13,2021-05-07 12:59:13,Succeeded,"LST MUSTMODPWD:OP=""minjaj"";&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 12:59:11,2021-05-07 12:59:11,Succeeded,"LGI:OP=""minjaj"",PWD =""*****"",SER=""10.12.15.202---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=UNLOCK,RAND=""1A868AAD74F436B81FC89D1718B05615"",SID=3593655387;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 12:26:20,2021-05-07 12:26:20,Failed,"LGI:OP=""hmogasa"",PWD =""*****"",SER=""192.168.104.37---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""03CEDFA37A5FB0F0EA289CB017C61F35"",SID=1668112224;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,You do not have the permission to log in to the LMT.,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:03:26,2021-05-07 12:03:26,Succeeded,refresh-service&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:03:21,2021-05-07 12:03:21,Succeeded,quit&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:03:20,2021-05-07 12:03:20,Succeeded,user-profile internet_services&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:02:51,2021-05-07 12:02:51,Failed,rule-binding rl_mpesa_merchant_app_he priority 1000&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, , ,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:02:39,2021-05-07 12:02:39,Succeeded,rule-enrichment rule rl_mpesa_merchant_app_zr_he header-enrichment enable&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:02:38,2021-05-07 12:02:38,Succeeded,category-group cg_rg888_mpesa_merchant_app charge-property cp_charge_v_rg888 action-property he_mpesa_merchant_app&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:02:02,2021-05-07 12:02:02,Succeeded,undo l7-info l7i_mpesa_merchant_app_01&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:02:01,2021-05-07 12:02:01,Succeeded,undo l7-info-group l7ig_mpesa_merchant_app l7-info l7i_mpesa_merchant_app_01&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:01:27,2021-05-07 12:01:27,Succeeded,undo l7-rule l7r_mpesa_merchant_app&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:00:50,2021-05-07 12:00:50,Failed,undo rule-binding rl_mpesa_merchant_app_he&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution failed,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:59:45,2021-05-07 11:59:45,Succeeded,undo rule rl_mpesa_merchant_app_he&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:59:28,2021-05-07 11:59:28,Succeeded,undo rule-binding rl_mpesa_merchant_app_he&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:31:16,2021-05-07 11:31:16,Succeeded,quit&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:25:55,2021-05-07 11:25:55,Succeeded,service-view&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:22:14,2021-05-07 11:22:14,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:22:13,2021-05-07 11:22:13,Succeeded,"LGI REQUEST:OP=""sshirima"",DN=EMS,AUTHTYPE=CHAP,HASHAL=SHA256,SID=3160754364;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:21:57,2021-05-07 11:21:57,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:21:54,2021-05-07 11:21:54,Succeeded,"LGI REQUEST:OP=""sshirima"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=0;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:20:11,2021-05-07 11:20:11,Succeeded,"LGI REQUEST:OP=""sshirima"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=0;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
sshirima,EMS,192.168.104.37,2021-05-07 11:19:55,2021-05-07 11:19:55,Succeeded,"LGI REQUEST:OP=""sshirima"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=0;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:17:24,2021-05-07 11:17:24,Succeeded,tracert -a 10.140.34.254 -vpn-instance EPC_IPSEC_TRAFFIC 102.69.165.103&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:16:22,2021-05-07 11:16:22,Succeeded,ping -a 10.140.34.254 -vpn-instance EPC_IPSEC_TRAFFIC 102.69.165.103&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:15:11,2021-05-07 11:15:11,Succeeded,quit&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:15:05,2021-05-07 11:15:05,Succeeded,ip address 10.140.34.254 255.255.255.255&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:14:32,2021-05-07 11:14:32,Succeeded,interface LoopBack903&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:08:59,2021-05-07 11:08:59,Succeeded,"LST MUSTMODPWD:OP=""minjaj"";&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:08:57,2021-05-07 11:08:57,Succeeded,"LGI:OP=""minjaj"",PWD =""*****"",SER=""10.12.15.202---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=UNLOCK,RAND=""A68CD8FF55E4722909DFB1773642A3E3"",SID=3593655387;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:08:56,2021-05-07 11:08:56,Succeeded,"LGI REQUEST:OP=""minjaj"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=3593655387;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:55:24,2021-05-07 08:55:24,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:55:21,2021-05-07 08:55:21,Succeeded,"LGI REQUEST:OP=""minjaj"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=3593655387;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:05:19,2021-05-07 08:05:19,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:05:18,2021-05-07 08:05:18,Succeeded,"LGI REQUEST:OP=""minjaj"",DN=EMS,AUTHTYPE=CHAP,HASHAL=SHA256,SID=3593655387;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:04:53,2021-05-07 08:04:53,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:04:52,2021-05-07 08:04:52,Succeeded,"LGI:OP=""minjaj"",PWD =""*****"",SER=""10.12.15.202---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""C5D0C28EBD3C9C694ED318700560B375"",SID=3593655387;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.15.202,2021-05-07 08:04:50,2021-05-07 08:04:50,Succeeded,"LGI REQUEST:OP=""minjaj"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=0;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:15:51,2021-05-07 18:15:51,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Mbezi_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:15:50,2021-05-07 18:15:50,Succeeded,"LGI REQUEST:OP=""hmogasa"",DN=EMS,AUTHTYPE=CHAP,HASHAL=SHA256,SID=3044680450;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:15:37,2021-05-07 18:15:37,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Mbezi_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 18:15:34,2021-05-07 18:15:34,Succeeded,"LGI REQUEST:OP=""hmogasa"",DN=EMS,AUTHTYPE=PUBLICKEY,HASHAL=SHA256,SID=0;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 17:30:06,2021-05-07 17:30:06,Succeeded,quit&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 17:22:05,2021-05-07 17:22:05,Succeeded,"CRE TRC_USER:OP=IMSI,IMSI=""640045024963198"",MT=UP-1&DOWN-1&LPUv4_UP-1&LPUv4_DOWN-1&GY-1&GX-1&EMS_SIGNALING-1&EMS_SA-1&EMS_GX-1&EMS_GY-1;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
minjaj,EMS,10.12.15.202,2021-05-07 13:21:42,2021-05-07 13:21:42,Succeeded,"CRE TRC_USER:OP=MSISDN,MSISDN=""255754710287"",MT=GTPC-1&AAA-1&SCEF-1&UP-1&DOWN-1&LPUv4_UP-1&LPUv4_DOWN-1&GY-1&PPP-1&L2TP-1&GX-1&GXC-1&DHCPV4-1&DHCPV6-1&IPV6-1&S6B-1&PMIPV6-1&ICAP-1&S18-1&EMS_SIGNALING-1&EMS_SA-1&EMS_DROP_DATA-1&MSE_UP-1&MSE_DOWN-1&EMS_MSE_DROP_DATA-1&NAP_UP-1&NAP_DOWN-1&EMS_WO_DATA-1&EMS_VO_DATA-1&EMS_NAP_DROP_DATA-1&EMS_MSE_TCPPROXY-1&EMS_MSE_MSD-1&EMS_ICAP_MESSAGE-1&EMS_RESERVE-1&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
minjaj,EMS,10.12.15.202,2021-05-07 12:59:24,2021-05-07 12:59:24,Succeeded,"LST MUSTMODPWD:OP=""minjaj"";&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
minjaj,EMS,10.12.15.202,2021-05-07 12:59:22,2021-05-07 12:59:22,Succeeded,"LGI:OP=""minjaj"",PWD =""*****"",SER=""10.12.15.202---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=UNLOCK,RAND=""D988833CF0AC20C48CF2259EF106F290"",SID=2118345903;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 12:37:19,2021-05-07 12:37:19,Failed,"LGI:OP=""hmogasa"",PWD =""*****"",SER=""192.168.104.37---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""60185B969C1EB78B2FCC4B3505C0403F"",SID=3766252723;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,You do not have the permission to log in to the LMT.,UGW,Mbezi_UGW
hmogasa,EMS,192.168.104.37,2021-05-07 12:26:47,2021-05-07 12:26:47,Failed,"LGI:OP=""hmogasa"",PWD =""*****"",SER=""192.168.104.37---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""F8AFA45A056158AC8D4F73447EA451CF"",SID=1832120353;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,You do not have the permission to log in to the LMT.,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:13:26,2021-05-07 12:13:26,Succeeded,quit&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:13:25,2021-05-07 12:13:25,Succeeded,user-profile internet_services&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:12:46,2021-05-07 12:12:46,Succeeded,system-view&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:04:32,2021-05-07 12:04:32,Succeeded,"LGI:op=""sshirima"",PWD=""*****"",DN=EMS,ENCRYPTPWD=Plaintext,SER=""192.168.104.37---O&M System"",AUTHTYPE=CHAP,RAND=""BA34BC6F13A8989A269BE3AC4BAC7890"",SID=829738884;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:04:23,2021-05-07 12:04:23,Succeeded,"LST MUSTMODPWD:OP=""sshirima"";&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
sshirima,EMS,192.168.104.37,2021-05-07 12:04:15,2021-05-07 12:04:15,Succeeded,"LGI:OP=""sshirima"",PWD =""*****"",SER=""192.168.104.37---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=PUBLICKEY,RAND=""95D34842FD6C9BC3BA1BD183D09EF419"",SID=829738884;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:09:19,2021-05-07 11:09:19,Succeeded,"LST MUSTMODPWD:OP=""minjaj"";&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
minjaj,EMS,10.12.15.202,2021-05-07 11:09:17,2021-05-07 11:09:17,Succeeded,"LGI:OP=""minjaj"",PWD =""*****"",SER=""10.12.15.202---O&M System"",DN=EMS,ENCRYPTPWD=Plaintext,AUTHTYPE=UNLOCK,RAND=""08A302940EA8F9BFC9E3EB11873E4BF9"",SID=2118345903;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Mbezi_UGW
minjaj,EMS,10.12.12.137,2021-05-07 23:50:39,2021-05-07 23:50:39,Succeeded,SET LINK:;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;, ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.12.137,2021-05-07 23:50:38,2021-05-07 23:50:38,Succeeded,"LGI REQUEST:OP=""minjaj"",DN=EMS,AUTHTYPE=CHAP,HASHAL=SHA256,SID=81839314;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
minjaj,EMS,10.12.12.137,2021-05-07 23:46:54,2021-05-07 23:46:54,Succeeded,"LGI:op=""minjaj"",PWD=""*****"",DN=EMS,ENCRYPTPWD=Plaintext,SER=""10.12.12.137---O&M System"",AUTHTYPE=CHAP,RAND=""11719BC646556088E1A79D6184113118"",SID=81839314;&EMS_GX-1&EMS_GY-1&EMS_VOLTE_MONITOR-1&FLOW_STATISTICS-1;", ,Execution succeeded,UGW,Kwale_UGW
